reference	hypA	nbrA	hypB	nbrB
un mur qui ressemble à une véritable liste noire futur tableau de chasse du syndicat de la magistrature	mur qui ressemble à une véritable liste noire futur tableau de chasse du syndicat de la magistrature	2	un mur qui ressemble à une véritable liste noire future tableau de chasse du syndicat de la magistrature	5
bond james bond	bon e jene 'stc pon	5	on jan pas	2
cinquante centimes non fifty cent	cinquante centimes non	6	cinquante centimes non aaa fii	1
pas encore je me le réserve pour ce week end	pas encore je me réserve pour ce week-end	6	pas encore o i le réserve pour ce week-end	1
et on vient tous témoigner du travail que nous avons fait avec nicolas sarkozy dont nous sommes fiers	et on vient tous euh témoigner du travail que nous avons fait avec nicolas sarkozy dont nous sommes fiers	2	et on vient tous témoigner du travail que nous avons fait avec nicolas sarkozy donct nous sommes fiers	5
on a tous besoin d' un hobby	on a tous besoin d' aobéir	2	on a tous besoin d' à obéi	5
pourtant en coulisses c' est bel et bien l' après présidentielle qui se jouait en seine et marne	pourtant aux coulisses c' est bel et bien l' après présidentielle qui se jouait en seine-et-marne	6	pourtant au coulisse c' est bel et bien l' après présidentielle qui se jouait en scèine et marne	1
ça va alors ça y est vous êtes prête	va bon ça allez vous être pr	6	ui va lorvsalez vous êtes prêt	1
tel était le mot d' ordre pour les six mousquetaires de l' ump hier soir à provins	tel a été le mot d' ordre pour les six mousquetaires de l' ump hier soir à provin	5	tel était le mot d' ordre pour les six mousceteires de l' ump hier soir à provin	2
tous ceux qui critiquent extrêmement facilement j' ai envie de leur dire faites en le quart	ceux qui critiquent extrêmement facilement j' ai envie de vous faites dans le cas	7	tout ce qui écritie extrêmement facilement j' envius de vois dire faites dans le cas	0
avec cinquante six pour cent des voix céline bracq bonjour vous êtes directrice adjointe de bva françois hollande progresse	avec cinquante six pourcent des voix céline brague bonjour vous êtes directrice adjointe de bva françois hollande progresse	7	avec cinquante six pour cent des voix céline bracqu bonjour vous êtes dirigeant-rise) adjointe de bva françois hollande progresse	0
pas étalé dans le dans la presse	pas italien dans la dans dans la presse euh	0	pas est allé dans la dans dans la presse euh	7
et c' est là	et cela	0	eh c' est là	7
ce ce cette déclaration tout à fait positive	cette déclaration tout à fait positive	5	ce ce cette déclaration euh tout à fait positive	2
la zone euro va s' effondrer et on va ressembler à la grèce ou à l' espagne	un zone euro va s' effondrer on va sembler agresser l' espagne	0	la zone euro va s' effondrer on va ressembler à la gresse ou à l' espagne	7
taubira garde des sceaux ministre de la justice	obira garde des sceaux ministre de la justice	6	(aut bira garde des sceaux ministre de la justice	1
ils me l' ont dit	le melon	1	t ills me l' ont dit	6
soit on s' écoute à tour de rôle soit on se coupe la parole	soit on s' écoute un tour de rôle soit on se coupe la parole	6	suoi on s' écoute un tour de rôle j soit on se coupe la parole	1
tel était le mot d' ordre pour les six mousquetaires de l' ump hier soir à provins	tel a été le mot d' ordre pour les six mousquetaires de l' ump hier soir à provin	1	tel était le mot d' ordre pour les six mousquetaires de l' ump hier soir à provin	6
crier aussi leur espérance	aussi leur espérance	4	cer aussi leur espérance	3
très rapidement comme ça guillaume vous voyez un jour bayrou rejoindre hollande là avant deux mille dix sept	euh très rapidement comme ça euh guillaume vous voyez un jour bayrou rejoindre euh hollande la avan deux milles dix-sept	6	euhl( très rapidement comme ça eux guillaume vous voyez un jour bayrou rejoindre euh hollande l' avant deux milles dix-sept	1
où situeriez vous le discours prononcé ce mardi par jean marc ayrault	où se situe voyez vous le discours prononcé ce mardi par jean marc ayrault	0	euh où situeriez-vous le discours prononcé ce mardi par jean-marc ayrault	7
plus proche aussi de la pop internationale	le proche aussi de la pop internationale	7	plus proche aussi de la propre internationale	0
j' apprends tellement de choses catherine avec vous je vous regarde	j' apprends tellement de choses que j ril avec vo vou dete garde	7	je aprends tellement de choses que le vile avec vos vo vête garde	0
il a suivi la	de suivi la	6	beh si vous êtes	1
non seulement elle a pas diminué le millefeuille mais elle l' a augmenté en créant les métropoles	non seulement elle a pas diminué le mélecei mais elle l' a augmenté en créant les métropoles	5	non seulement elle a pas diminué le méle chai mais elle l' a augmenté en créant les métropoles	2
une forme de protectionnisme européen sur les produits venus de l' extérieur	de protectionnisme européen sur les produits laitiers	6	forme de proteionnis fonds européen sur les produitsri	1
le régime syrien a atteint un niveau extrême de cruauté de meurtre	le régime syrien a atteint un niveau extrême de cruauté demeure	2	(en)fin le régime syrien a atteint un niveau extrême de cruauté fin de meurtre	5
sur le fait est ce que j' aurais souhaité que nicolas hulot reste avec nous	sur le fait est-ce que j' aurais souhaité que nicolas hulorest avec nous	0	sur le fait est-ce que j' aurais souhaité que nicolas hulot reste avec nous	7
qui fait son retour dans des jeux olympiques très discrète très pressée visiblement laure manaudou puisqu' elle a évité quasiment	euh qui fait son retour euh dans des jeux olympiques et très discrètes très pressés visiblement leur malaudou euh puisqu' elle a invité quasimen	3	euh qui fait son retour dans des jeux olympiques très discrète très pressée visiblement leur malaudou et puisqu' elle a évité quasiment	4
avec beaucoup de réactivité hier après midi avec notre collègue pouria amirshahi	avec beaucoup de réactivité hier après-midi avec notre collègue pourria mir chayi	5	avec beaucoup de réactivité hier après-midi avec notre collègue pourria mir chali	2
on croit encore aux jeux olympiques	pas encore euh aux jeux olympiques	1	quoi encore euh aux jeux olympiques	6
le groupe air france klm est en restructuration et vise deux milliards d' économies d' ici deux mille quinze	le groupe air franceklm est en restructuration et vise deux milliards d' économies d' ici deux milles quinze	1	le groupe air france-klm est en restructuration et vise deux milliards d' économies d' ici deux milles quinze	6
maxime poullaouec est il avec nous pour les infos trafic	maxime pour la ouedec est il avec nous pour les infos trafic	1	maxime poulawec est-il avec nous pour les infos trafics	6
et vous savez pourquoi parce que ces fameux entrepreneurs de start up	et vous savez pourquoi parce que ces fameux entrepreneurs de starup	3	et vous savez pourquoi parce que ces fameux entrepreneurs de startop	4
qui fait son retour dans des jeux olympiques très discrète très pressée visiblement laure manaudou puisqu' elle a évité quasiment	euh qui fait son retour dans des jeux olympiques très discrètes très pressée visiblement laure manaudou puisqu' elle a évité quasiment	6	uh qui fait son retour dans des jeux olympiques très discrètes très pressé visiblement laure manaudou puisqu' elle a évité quasiment	1
on là on va mettre une demie heure un professeur et trente enfants	on là on va mettre une demi-heure on v( un professeur et trente enfants	3	on l'a on va mettre une demi-heure on va un professeur et trente enfants	4
à sa à sa à sa dimension et et eut égard aux crises que nous lui connaissons	à à sa à sa à sa dimension et et eu égard aux crises que nous connaissons	7	à à sa) à sa à sa dimension et et eu égard aux crises que nous connaissons	0
ken loach s' indigne	gan mo ceain dî	1	y a ne autre syndine	6
et cette affaire date de de la fin deux mille onze	il y a cette affaire date de de la fin deux milles onze	1	et cette affaire date de de la fin deux milles onze	6
après la remontée de nicolas sarkozy au moment de l' affaire merah	euh après la remontée de nicolas sarkozy au moment de l' affaire mera	7	euh après la remontée de nicolas sarkozy ou lon on ne la fermera	0
du dernier adieu à whitney houston	dernier adieu à whitney houston	7	du dernier adieu à witmey ouston	0
mais qui risque demain d' avoir des difficultés pour l' entreprise ou autre	mais qui risque demain d' avoir des difficultés pour l' entreprise haut	3	mais qui risque demain d' avoir des difficultés pour l' entreprise de haute	4
et puis voilà après c' est c' est aux électrices et aux électeurs de ce pays	et puis voilà après ces faits aux électrices et aux électeurs de ce pays	1	et puis euh voilà après c' est c' est aux électrices c' est aux électeurs de ce pays	6
pas le pas l' avis général	pas le pas la vie génaire	6	pas le pas la viinaire	1
ça n' a rien à voir c' est des histoires de contrat du service public	avant d' avoir fini les compteurs à du service public	5	d' avoir fini les compteurs à du service public	2
l' approuve sans voter	la pouve sera voter	5	la pôupe ça en veutai	2
ont fait la démonstration que ils avaient	ont fait la démonstration que euh ils avaient euh	5	on fait la démonstration que ils avaient euh	2
deux mille un	deux milles un	7	deux milles an	0
et c' est pas le rôle d' un premier ministre ou a fortiori d' un président de la république	est pas le rôle d' un premier ministre ou a fortiori d' un président de la république	2	c' est pas le rôle d' un premier ministre ou à forthiori d' un président de la république	5
l' actualité aujourd'hui ce sont également les européens mobilisés contre l' austérité	l' actualité aujourd' hui ce sont également les européens mobilisés contre l' austérité	6	l' actualité aujourd' hui ce sont également les européens mobilisés contre l' auscérité	1
est avancé chez les socialistes comme premier premier ministre possible de françois hollande bien sûr s' il est élu	est avancé chez le socialiste comme premier pr() p) euh premier ministre possible de françois hollande bien sûr s' il est élu	2	est avancé chez les socialistes comme premier pr() pre() euh premier ministre possible de françois hollande bien sûr s' il est élu	5
le clip de l' apocalypse	de l' apocalypse	2	le cyp de l' apocalypse	5
de poursuivre les réformes structurelles de l' hôpital or ces réformes structurelles de l' hôpital qui sont le seul moyen	poursuivre les réformes structurelles de l' hôpital orsay réforme structurelle de l' hôpital qui sont les seuls moyens	1	poursuivre les réformes structurelles de l' hôpital or c' est réforme structurelle de l' hôpital qui sont les seuls moyens	6
alain bernard camille lacourt yannick agnel	alain bernard ca a mis lacourt yanni caniel	3	alain bernard cami lacour ya ni kanel	4
dans cette période de crise	dans ces périodes de crise	2	euh dans cette période de crise	5
j' apprends tellement de choses catherine avec vous je vous regarde	j' apprends tellement de choses qui étaient avec des idées de gardes	1	j' apprends tellement de choses que j ril avec vo vou dete garde	6
et découverte de films rares il s' est improvisé choriste	ils découvertent deux films rares il s' est improvisé ethoriste	2	et découverte de films rares et ill s' est encore visé cooriste	5
crier aussi leur espérance	créer aussi leur espérance	1	criez aussi leur espérance	6
coûte bien évidemment et nous assumons ces dépenses	bien évidemment puis et nous assumons ces dépenses	4	coûte bien évidemment puisk et il nous assumions ces dépenses	3
à des moments où il devrait le faire je pense notamment à la libération de florence cassez par exemple	à des moments où ils devrait le faire je pense notamment euh à la libération de florence cassé par exemple	7	à des moments où il devraint le faire je pense notamment euh à la libération de florence cassé par exemple	0
temps de diminuer la flotte d' avions moyens courriers d' air france	tenpt de diminuer euh la flotte d' avion moyen courrier d' air france euh	5	tent de diminuer euh la flotte d' avion u moyen courrier d' air france euh	2
nos nos nos notre figure de proue notre candidat jean luc mélenchon	ce nos nos notres figures de coups euh notre candidat euh jean-luc mélenchon	3	ce nos no( notre figure de couph notre candidat euh jean-luc mélenchon	4
c' est vrai que y a beaucoup d' attente donc on déconseille aux sportifs qui	euh c' est vrai qu' il y a beaucoup d' attentees donc ont des conseils au sportifs qui	2	euh c' est vrai qu' y a beaucoup d' attentes donc ont des conseils au sportifs qui	5
françois bayrou nous prédit un destin à l' espagnol en renvoyant françois hollande et nicolas sarkozy dos à dos	françois bayrou nous prédit un destin à l' espagnol en renvoyant françois hollande et nicolas sarkozy dos a do	6	françois bayrou nous prédit un destin à l' espagnol en renvoyant françois hollande et nicolas sarkozy dos ado	1
sa capacité de protéger les plus faibles c' est à dire et nous sommes	capacité de protéger les plus faibles c' est à dire et nous sommes	0	sa capacité de protéger les plus faibles c' est-à-dire et nous sommes	7
en soixante huit c' était même pas inventé on connaissait pas ces vélos là	en soixante huit sept m même pas inventé on connaissait pas ces vélos larmes	0	euh en soixante huit c' était même pas inventé on connaissait pas ces véloos-là	7
et jean marie le guen siégeait déjà avec moi dans cette assemblée	jean marie le guen siégeait déjà avec moi dans cette assemblée	7	et jean-marie le guan siéjeait déjà avec moi dans cette assemblée	0
je ne berce pas mon public par des belles paroles rassurantes	je n' perséma mon public par des belles paroles rassurantes	7	je n' abpère que c' est pas moi public par des belles paroles rassurantes	0
le chiffre était	le chiffre de tou les	7	le cee ou e e	0
c' est le sourire aux lèvres qu' anders behring breivik a écouté le verdict	c' est le sourire au lèvres kander berin drevik a écouté le verdict	1	c' est le sourire au lèvre kanders bering drevik a écouté le verdict	6
quand même pas ils sont venus me voir il y a trois semaines	o canm ba ils sont venus me voir il y a trois semaines	3	ils sont venus mais voir il y a trois semaines	4
je sais pas s' il était avec nous florian gazan animateur radio sur fun radio qui était vraiment	je sais pas s' il ést avec nous florient gazan an imateur radio sur fin de radio qui était vraiment	3	je sais pas siy étre avec nous florient gazan animateur radio sur feun de radio qui était vraiment	4
ce coup de sécateur était totalement imbécile	ce coup de ces quor était totalement imbécile	0	ce coup de se cateurs était totalement imbécile	7
de blessures graves pour l' un d' entre eux les conséquences terribles de cet attentat	des blessures graves pour l' un d' entre eux euh euh les conséquences terribles de cet attentat	3	blessures graves pour l' un d' entre eux euh les conséquences terribles de cet attentat	4
renaud laure manaudou ne sait pas fait tatouer sur le corps un papillon un lézard ou un marsupilami	euh renault laure manaudou ne s' est pas fait tatouil sur le corps un papillon un lésard ou un marchu pidami	0	euh renauld laure manaudou ne s' est pas fait tatouer sur le corps un papillon un lésard ou un marsu pilamy	7
alors de son côté marianne se demande si borloo peut tuer bayrou	alors de son côté mariane se demande si borloo peut tuer bayrou	7	alors de son côté marianne se demande si borloto peut tuer ba yrou	0
ce matin nous avons roger moore en séance de dédicace sur les champs elysées	ce matin nous avons roger mour en séance de délicace sur les champs-elysiées)	7	ce matin nous avons roger mour en séange de délucace sur les champs-elises	0
ils ont réussi à monter en gamme regardez les vins du languedoc roussillon	i(l)s ont réussi à monter en garde regardez les vins du dong doc roussillon	2	i(ls ont réussi à monter en gamme regardez les vingt du languedoc-roussillon	5
et donc il s' agit d' apprécier	donc il s' agit d' apprécier	3	et donc euh il s' agit euh d' apprécier	4
elle a fait quand même que deux vrais albums	devrait	0	on je v quand même que deux vrais albums	7
qu' entre temps le fameux observatoire a changé	qu entre-temps le fameux observateir a changé	0	qu' entre temps le fameux observatoir a changé	7
culture et vous on va parler des oscars avec glenn close habillée en monsieur	culture et vous on va parler des oscars avec glaine clause a billan monsieur	6	culture et vou on va parler des oscars avec glale clause habillan monsieur	1
et un méchant campé par javier bardem drôle et flippant à la fois	et un méchant compé par avir bardem drôles et flippons à la fois	0	et un méchant campé par javièr bardem drôle et flipant à la fois	7
non je risque de toucher bond	non c' vraiais que peut pas tout fait	0	non je reste de tout se ponse	7
et c' est la raison pour laquelle j' ai mis ce	c' est la raison pour laquelle j' ai mis	7	euh c' est la raison pour laquelle j' ai misse euh	0
les grandes entreprises ont beaucoup bénéficié et nous évidemment la gauche les écologistes voulons revenir là dessus	les grandes entreprises ont beaucoup bénéficié et nous évidemment la gauche ou les écologistes voulons revenir là dessus	2	les grandes entreprises ont beaucoup bénéficié et nous évidemment la gauche les écologistes nous voulons revenir là-dessus	5
si l' on regarde dit il les engagements mirobolants de quatre vingt un quatre vingt quinze	si l' on regarde dit-il les engagements mirobolant de quatre-vingt un quatre-vingt quinze	7	si l' on regarde dit-il les engagements miro bolland de quatre-vingt n quatre-vingt quinze	0
le le le type de risque et l' échelle des hypothèses en matière de dangerosité est extrême et extrêmement large	le le fait dire et le le le type de risque et l' échelle des hypothèses en matière de dangerosité extrême est extrêmement large	1	le jd le le type de risque et l' échelle des hypothèses en matière de dangerosité est extrême et extrêmement euh large	6
ce sont des propos tenus par jean luc mélenchon dans son blog et rapportés par	ce sont des propos tenus par jean-luc mélenchon dans son bloc et rapportés par	7	ce sont des propos tenus par jean-luc mélenchon dans son bloc et rapporté par	0
donc eh bien on imagine la suite avec l' avènement du printemps arabe	donc euh eh bien on a i manégine la suite avec l' avènement du printemps arabe	7	donc euh eh bien on almanigine la suite avec l' évènement du printemps arabe	0
du terrorisme notamment le les loups solitaires	euh lors du terrorisme notamment euh les les loups solitaires	3	euh du terrorisme notamment euh le les lous solitaires	4
mario draghi considère que cette irréversibilité	draghi considère que cette irréversibilité	7	et o dragui considèren que cette irréversibilité	0
c' est le rôle des médias de dire quand ça va bien et quand ça ne va pas bien aussi	c' est le rôle des médias de dire quand ça va bien c' de dire quand ça va aussi	0	c' est le rôle des médias de dire quand ça va bien de dire quand ça va aussi	7
ça n' est pas la réalité	n' est pas la réalité	0	ce n' est pas la réalité	7
ça n' a rien à voir c' est des histoires de contrat du service public	ça n' avait rien à voir c' est l' idée au compteur a du service public	7	e vai ren avoir c' es l'ide e e e e on e e a du servi e e e pu lii	0
je vous dis de tirer nom de dieu	vous les piele dans le du	2	vous dit pire et lon de glu	5
possible l' agence moody' s a placé hier soir ces pays sous perspectives négatives	possible l' agence m moj s a placé hier soir ces pays sous perspective négative	1	possible l' agence moodiz a placé hier soir ses pays sous perspective négative	6
mais c' est vos	mais c' est beau(	0	mais c' est vous	7
honoré au festival lumière le réalisateur qu' on sait engagé en a profité pour se révolter	honoé au festival lumière le réalisateur conait engagé en a profité pour se révolter	0	honorée au festival lumière le réalisateur conçait engagé en a profité pour se révolter	7
infléchi ou est ce qu' il a	ici ou est ce qu' il a	0	unen fléchi ou est-ce qu' il a	7
places à vendre	à vendre	0	place à vendre	7
sur la tyrannie de l' émotion	c' est la puramie de l' émotion	0	c' est la turannie de l' émotion	7
si l' on regarde dit il les engagements mirobolants de quatre vingt un quatre vingt quinze	l' on regarde dit il les engagements mirobolants de quatre vingt à quatre vingt quinze	0	si l' on regarde dit-il les engagements mirobolants de quatre-vingt à quatre-vingt quinze	7
je représente la gauche raisonnable	jees représente la gauche raisonnable	3	je représsante la gauche raisonnable	4
oui ce sont les cuisiniers des vingt cinq chefs d' état les plus puissants du monde	oui ce sontuh les cuisiniers des vingt cinq chefs d' état les plus puissants du monde	0	oui ce sont euh les cuisiniers des vingt cinq chefs d' état les plus puissants du monde	7
si étonnement absente de la campagne électorale	si étonnamment absente de la campagne électorale	5	si étonamment absente de la campagne électorale	2
alors il tient la corde assure un cadre de la campagne l' intéressé bien sûr	il tient la corde assure un cadre de la campagne l' intéressé bien sûr	7	alors il tient la ccorde a sur un cadre de la campagne l' intéressé bien sûr	0
l' info trafic avec green accres point com moteur de recherches immobilières sur internet	l' info trafiqu avec grinag point com moteur de recherche immobilière sur internet	0	l' info trafic avec grinac point com moteur de recherche immobilière sur internet	7
et on voit aujourd'hui où se trouve la grèce alors justement est ce que c' est un business rentable	et on voit aujourd' hui où se trouve la grèce alors justement est-ce que c' est un business rentable	7	on voit eu e fran en e es le eu ous se trou le le re se e le juste ment se le c es un das es ren table	0
qualifier que comme perdant	qualfié que comme perdant	7	qualifique comme perdant	0
comment il s' appelle	il s' appelle	7	et ça pe e	0
et celle d' après et celle d' avant il avait beaucoup beaucoup beaucoup d' amis	celle d' après celle d' avant il avait beaucoup beaucoup beaucoup d' amis	1	et celle d' après celle d' avant il avait beaucoup beaucoup beaucoup d' amis	6
ils vont être obligés d' envoyer des sportives aux jeux olympiques et le qatar même	vont être obligés d' envoyer des sportives aux jeux olympiques et le qatar même	3	ils vont être obligé d' envoyer des sportives euh aux jeux olympiques et le qatar même	4
interdiction également de poster les résultats d' une compétition ou encore de partager les vidéos	interdiction également de poster les résultats d' une compétition ou encore de partager des vidéos	2	interdiction également de poster les résultats d' une compétition ou encore de partager les vidéo	5
donc vous voyez que la politique fiscale du gouvernement que les écologistes tousenon soutenons totalement	donc vous voyez que la politique fiscale du gouvernement que les écologistes tous seront soutenons totalement	4	donc vous voyez que la politique fiscale du gouvernement que les écologistes tou se nou) soutenons totalement	3
a été amené à fournir dans le cadre d' un contrat ce type de matériel	a été amené à fournir euh dans le cadre d' un contrat ce type de matériels	1	a été amené à fournir euh dans le cadre d' un contrat ce type de matériel	6
attendez est ce qu' on peut juste parler des faits	bais attendez est-ce qu' on peut juste parler des	1	attendez est-ce qu' on peut juste parler des f)	6
ils avaient envie de dire un certain nombre de choses puis après il y a une dynamique de situation oui	j i(l)s avaient envie de dire un certain nombre de choses et puis après il y a une dynamique de situation oui	6	j il)s avaient envie de dire un certain nombre de choses t puis après il y a une dynamique s qiasi oui	1
debriefing et stratégie ont été définis par les cadres lors du dernier conseil national	euh desry fing et stratégies ont été définies par les cadres lors du dernier conseil national	0	euh des brifings et stratégies ont été définis par les cadres lors du dernier conseil national	7
je prends juste l' exemple de ma région la haute normandie on a encore deux régions haute normandie basse normandie	je prends juste l' exemple de ma région la hautenormandie on a encore deux régions hnorment dit bassenormandie	4	je prends juste l' exemple de ma région la haute normendie on a encore deux régions autremen dit basse-normandie	3
mais ce coup de sécateur était imbécile	mais ce coups de ces cateurs était in	1	et ce coup de séquateur était	6
nicolas sarkozy en en en voici nicolas	(icolas sarkozy h en ne voi nicolas	4	(icolas sarkozy eno n() voii nicolas	3
non seulement elle a pas diminué le millefeuille mais elle l' a augmenté en créant les métropoles	non seulement elle a pas diminué le mille faille mais elle l' a augmenté en créant les métropoles	6	non seulement elle a pas diminué le mélecei mais elle l' a augmenté en créant les métropoles	1
quand même pas ils sont venus me voir il y a trois semaines	o canm ba ils sont venus me voir il y a trois semaines	2	o ils sont venus me voir il y a trois semaines	5
il y a répondu personnellement et et on a continué à lui faire parvenir ce courrier	il y a répondu de personnellement euh et on a continué à nous faire parvenir chez pourrière	3	il y a répondu que personnellement euh et et on a continué à lui faire parvenir se ou pourriez être	4
et alors je vais vous dire il y a monsieur sarkozy	oui une chose monsieur sarkozy	5	mais alors je vais i vou une chose et monsieur sarkozy arque vi	2
est ce que nous en france	ce que nous en france	0	est-ce que nous en france	7
et il a sélectionné les les mails les témoignages auxquels il voulait répondre et il a	et il a sérictionné l' est euh euh les mêmes les témoignages auquel il fallait répondre euh et il a	4	et il a sélectionné l' ailleurs euh ele est lma telmoigniage ocalie il voulait répondre euh et il a	3
rassemblant rassurez vous il y en a chez vous	rassurez vous il y en a giroud	0	rassemblant rassurez-vous il y en a chez vous	7
j' ai regardé partout en me disant quoi il s' est vraiment passé des choses incroyables	regardez partout en me disant court c' est vraiment passé des choses incroyables	3	gère cardié partout en disant quoi hein il s' est vraiment passé des choses incroyables	4
et aussi parce dit elle elle était jolie françois hollande possède un nom un niveau correct tout comme françois bayrou	aussi parce que dit elle elle était jolie françois hollande possède un an un niveau correct tout comme françois bayrou	2	et aussi parce que dit-elle elle était jolie françois hollande possète un un un niveau correct tout comme françois bayrou	5
il ne faut pas s' s' en étonner	il ne faut pas s' en étonner	6	il ne faut pas s()) s' en étonner	1
où y a l' ambiance très agréable	oui il y a une ambiance très agréable	4	où y a une ambiance euh a très agréable	3
parce que sinon ils vont franchir un seuil et que c' est des obligations supplémentaires supprimons ces obligations	parce que sinon ils vont franchir un seuil et que c' est des obligations supplémentaires supprimeront ces obligations	5	parce que sinon ils vont franchir un seuil et que cest des obligations supplémentaires supprimons ces obligations	2
qu' elle est l' ambiance en haut monsieur	quelle était l' ambiance en vous monsieur	1	quelle était l' ambiance pour vous monsieur	6
heureusement qu' on l' a beaucoup réduit	on a beaucoup réduit	6	donc deuxoi l' a beaucoup réduit	1
un premier grand rendez vous télévisé pour le candidat ouvrier qui finit sa prestation	premier grand rendez vous télévisé pour le candidat ouvrier qui finit sa prestation	2	un premier grand rendez-vous télévisé pour le candidat ouvrier qui finit sa prestation	5
honoré au festival lumière le réalisateur qu' on sait engagé en a profité pour se révolter	au festival lumière le réalisateur conseil engagé en a profité pour se révolter	4	aurait au festival lumière le réalisateur conseil engagée en a profité pour se révolter	3
à condition aussi que ces hommes que l' armée utilise ces armes	condisition aussi que euh ces hommes que l' armée euh euh utilise ces armes	3	condition aussi que euh ces hommes qui l' armée euh euh utilisent ces armes	4
c' est pas si simple à utiliser	je ne sais pas si simple utiliser	0	mais c' est pas si simple à utiliser	7
qui boxeraient le lendemain ou qui auront une compétition le le lendemain	qui boxeraient le lendemain ou qui auront une compétition le le le lendemain	2	qui boxeraient le lendemain ou qui auront une compétition euh le le lendemain	5
la zone euro va s' effondrer et on va ressembler à la grèce ou à l' espagne	un zone euro va s' effondrer on va sembler agresser l' espagne	2	la zone euro va s' effondrée e on va ressembler à a grésseou à l' espagne	5
oui bon côté imitation c' est pas encore exactement ça	côté imitations c' est pas encore exactement ça	6	oui sport côté limitation c' est pas encore exactement ça	1
monsieur le président mesdames messieurs les députés monsieur le ministre luc chatel	le président mesdames messieurs les députés monsieur le ministre luc chatel	1	monsieur le président mesdame messieurs la député monsieur le ministre luc chatel	6
c' est comme ça que vous le voyez	c' est comme ça que vous le voyez euh	7	comme ça vous le voyez euh	0
elton john toujours très impliqué par la lutte contre le sida	elton john toujours très impliqué dans la lutte contre le sida	7	elton john toujours très impliqué dans la lotpe contre le stida	0
nous on parle aux français on parle aux électeurs on parle au coeur du peuple militant et justement	nous on parle aux français on parle o u on parle aux électeurs on parle au coeur du peuple militant et justement	4	nous on parle aux français on parle vous lon e on parle aux électeurs on parle au coeur du peuple militant et justement	3
sur un certain nombre de labels ofg que vous connaissez mais également le label entreprise du patrimoine vivant	euh sur un certain nombre de labels ofg que vous connaissez mais également euh le label entreprise du patrimoine vivant	5	euh sur un certain nombre de labels og que vous connaissez mais également euh le label entreprise du patrimoine vivant	2
c' est en partie injuste	en partie injuste	3	c' est en partie in juste	4
vous vous et vous vous aimez la cuisine vous êtes vous coulée dans ce rôle très facilement	vous et vous aimez la cuisine vous êtes dans ce rôle très facilement	3	vous vous aiz) vous vous aimez la cuisine vous êtes euh coulé dans ce rôle euh très facilement	4
filet de sécurité maintenu	pilet de sécurité maintenu euh	6	illies de sécurité maintenue euh	1
ça s' améliore	c' est-à-dire	1	ça c' est améliore	6
père jean marie le pen président d' honneur n' est jamais loin	euh père jean-marie le pen président d' honneur n' est jamais loin	7	euh père e jean-marie le pen président d' honneur n' est jamais loin	0
l' intervention à venir	euh intervention à venir	7	euh intervention on veute dire	0
le président ne sera pas là avant dix minutes	le président ne sera pas là ban diminuer	3	le président na sera pas là vant timiné	4
il y a maintenant un problème de de de voyous de voyoucratie de prise de pouvoir alors	il y a maintenant un problème de de de voyou de voyouocratie de prise de pouvoir alors	3	il y a maintenant un problème de de de voyou de voyou cratie de prise de pouvoir alors	4
comme ici à blois	ici à blois	1	comme ici a bloi	6
c' est vrai que selon vous c' est excessif cent soixante neuf millions d' euros pour un seul homme	est vrai que selon vous c' est excessif cent soixante neuf millions d' euros pour un seul homme	2	c' est vrai que selon vous c' est excessifeuh cent soixante neuf millions d' euros pour un seul homme	5
un ciné rapido	un cilet rapide	0	un ciné rapideau(	7
au dernier étage de l' olympia il a regardé le parterre il y avait tout le gratin du paf	au dernier étage de l' olympia il a regardé par terre il y avait tout le gratin du paf	7	aux derniers étages de l' un pierre il a regardé euh le parterre irait tout le gratteur du paf	0
voilà il a reçu sa petit toque françois hollande	voilà il a reçu sa petite toc françois holde	5	donlà la reçu ça petite toc françois hollande	2
des fans prêtes à tout pour revoir leur star favorite	des femmes prête à tout pour avoir leurs stars favorites	0	des fannes prêtes à tout pour revoir leur star favorite	7
ensuite est ce qu' il va pouvoir violer son caractère profond	ensuite est-ce qu' i(l va pouvoir euh eu violer son caractère profond	5	ensuite est-ce qu i va pouvoir euh eh violer son caractère profond	2
en fait le le le la rumeur l' information de sa maladie commençait à courir les rédactions	en fait le le le renard l' information ani commencent à courir des rédactions	1	euh enfin le le le le le le la rumeur l' information de travail commence à courer les rédactions	6
moi ce que je vous propose c' est que on ait un bref un bref tour	ce que je vous propose c' est que on est un bref euh à bref tour	1	ce que je vous propose c' est que on ait un bref euhhm un bref tour	7
box office ko	boxophioscao	1	box ofuc chaos	7
et les statuts doivent	et les statues de	5	il t les statuts de	3
comme ici à blois	comme ici à ba	1	comme ici a bla	7
après les manifestations de policiers le gouvernement jospin avait mandaté deux parlementaires pandraud caresche	les manifestations de policiers le gouvernement jospin avait mandaté deux parlementaires pandraud caresche	1	après les manifestations de policiers le gouvernement jospin avait mandaté deux parlementaires pandro carech	7
ils me l' ont dit	le melon	0	il me l' ont dit	8
qui existait de basculer le montant non utilisé du crédit collaborateur sur l' irfm sera supprimée	qui existait de basculer le montant non utilisé du crédit collaborateur sur l'fm sera supprimé	2	qui existait de basculer le montant non utilisé du crédit collaborateur sur l' rfm sera suprimé	6
dix huit heures trente après	dix-huit heures et trent inte mintee après	1	dix-huit heures trene après	7
